utxo	time_millisec	spent
hfuKkcRVY4vztsJ7rFTSUei3hLxKT0YiAd	1726609787902	True
c3QeKP4KKrZR76IqYElXSrPFNPd69Epf8n	1726609787902	True
C755q0k5pspQgEWlWi8DMZSLxll3oqdriL	1726609787902	True
T1xi6NM8ok1b6Fn81cXMGLqRCRyxZOPoRS	1726609787902	False
9S91C70S2PrDFgy1qSueOquozh3RztciL0	1726609787902	False
UEe7iWJJNSQzdx72gqRnj0cS8F3SX8A52Q	1726609787902	False
u9bVcs2nwFywoDrcc9xIye4DgqWQJXNNnr	1726609788474	True
OsRlwFY89oH6veDN8NQBwzElWXrBoZBnIj	1726609788474	True
qasE8z09WFikIW93YcS8rjq3VswhiP1dyv	1726609788474	True
KKg9zJWBcqLj3qp5m4G5nezCDmU8MSe9sZ	1726609788474	False
BZTZxYveDLRRgGIvylfgoRPFhrZsdTR7Mf	1726609788474	False
0La2ISHVu3dPhz0PzItna3sFLjRqDbg6n3	1726609788474	False
OqopNfjurniYEEUlXLtdCGFcKFL6R6HMWw	1726609788474	False
