tx_hash	spending_utxo	spending_time_millisec	utxo_age_sec
4244aecf5f1d65742e072520ed8394f04b2b8c1bb0c37aca5669eaaa1a3021fa	hfuKkcRVY4vztsJ7rFTSUei3hLxKT0YiAd	1726609787902	0
a9c8a776f4a48524c0441d3ce105b1a78f9923483b6eb83158ad2ff43469990f	c3QeKP4KKrZR76IqYElXSrPFNPd69Epf8n	1726609787902	0
52b078e456bb2adb8fce38db959514ff5cb385a7ed4a625e04ee495dbea03a11	Dqo2a3kQ9XHUNDaR2bPGqDTR3Afuf6SaxD	1726609787902	653421
c42701b559e42ac244f15fbbe575373b30922fa8fef4985055dcb85f2b05bc4c	znah6cqF5G1M2ONiqUvQzSRDwYC0mJ9CUB	1726609787902	587
226b685c27869b8666536467975ed9bee737be8e8820e536d5e5d8db05f6422b	C755q0k5pspQgEWlWi8DMZSLxll3oqdriL	1726609787902	0
fb1af8909da05d289671dda0e3bf1a2004d5341fa8e04b399ed4b9ccde53797b	u9bVcs2nwFywoDrcc9xIye4DgqWQJXNNnr	1726609788474	0
737c8171343f19b464a587541cfb9a27224fc42c74cdbf9ae6047fc628482324	OsRlwFY89oH6veDN8NQBwzElWXrBoZBnIj	1726609788474	0
28274490a6519de0dac0f0abf3fd1bd40cbf622685c0b5132321216608dd3b1a	BqtEu4vvSW9Ntnq0zNOdCfdLudIfNqukRG	1726609788474	2224
18ca1d241f1aa7432bff665ee482d65f9a07928ca807de31cf8dfb3d47c1741a	DSCJLNBSWuN4Ie8Y19Ln8oCdAN9eyGGbaI	1726609788474	48143
3b42a51bde6ef821906cd447e57478e3ef2afa9e2bd7e8bfe092231c71cd4bf0	qasE8z09WFikIW93YcS8rjq3VswhiP1dyv	1726609788474	0
